Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
156,"Mar 07, 2024","Mar 11, 2024","Nov 07, 2024",Revised,"Road, Sidewalk, and Bicycle Lane Closure",99 Street NW,102A Avenue NW,103A Avenue NW,Total Closure,7+ Months,"99 St, 102A Av - City Hall Parkade closed due to pedway construction. 102A Av WBD, East of 99 St also closed. Bike lane closed. West sidewalk closed. Cyclists and peds must use the temporary SUP on the east sidewalk.",Pedway Construction,Construction,Central,Road and Sidewalk,POINT (-113.489162456483 53.544555621777)
696,"Jul 31, 2024","Aug 06, 2024","Nov 15, 2024",Current,156 St Traffic Split,156 Street NW,145 Avenue NW,Mark Messier Trail NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am 156 St, 145 Ave - Mark Messier Tr. will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to westbound St. Albert Tr will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.591242429239 53.610987151836)
718,"Aug 07, 2024","Sep 23, 2024","Dec 31, 2024",Current,"112 St Closed, Alley S/O Jasper Ave - 35m South",112 Street NW,Jasper Avenue,100 Avenue NW,Total Closure,3 Months,112 St closed from the alley south of Jasper Ave to approx. 35m south of the alley. Local access will be maintained from Jasper Ave to the alley south of Jasper Ave and from 100 Ave to the south side of the closure. The east sidewalk will be closed.,Drainage Repair,Construction,Central,Road and Sidewalk,POINT (-113.513935672637 53.540939540533)
991,"Oct 08, 2024","Oct 10, 2024","Oct 31, 2024",Revised,96 St Total Closure,96 Street NW,106A Avenue NW,107A Avenue nW,Total Closure,2 Weeks,Starts Oct 10 for 2 weeks. 96 St closed from 106A Ave - 107A Ave as part of the neighborhood rehab project. Detour using other route.,McCauley Nhbd Rehab,Construction,Central,Road,POINT (-113.485871557936 53.551618344719)
1025,"Oct 17, 2024","Oct 24, 2024","Oct 25, 2024",Revised,149 Street NB Closure,149 Street NW,124 Avenue NW,Yellowhead Trail NW,Total Closure,1 Night (9 pm - 6 am),"Total closure of 149 St NB, 124 Av - Yellowhead Tr. Detour using 156 St or 142 St.",YHT Freeway conversion,Construction,Northwest,Road,POINT (-113.577982087171 53.578996792344)
992,"Oct 08, 2024","Oct 08, 2024","Oct 31, 2024",Revised,96 St Total Closure,96 Street NW,107A Avenue NW,108A Avenue nW,Total Closure,10 Days,Starts Oct 8 for 10 days. 96 St closed from 107A Ave - 108A Ave as part of the neighborhood rehab project. Detour using other route.,McCauley Nhbd Rehab,Construction,Central,Road,POINT (-113.486689649881 53.553361064903)
697,"Jul 31, 2024","Aug 06, 2024","Nov 15, 2024",Current,Campbell Road Traffic Split,Campbell Road NW,Mark Messier Trail NW,Anthony Henday Drive NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am Campbell Rd, Mark Messier Tr. - 500m north of MMT will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to EB MMT will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.576559528379 53.629200764091)
535,"Jun 20, 2024","Jun 20, 2024","Oct 21, 2024",Revised,98 Av Closure,98 Avenue NW,156 Street NW,155 Street NW,Total Closure,3 Months,"Total Closure of 98 Av, 156 St - 155 St. For more information visithttps://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590305943444 53.536181593557)
534,"Jun 20, 2024","Jun 20, 2024","Oct 21, 2024",Revised,99 Av Closure,99 Avenue NW,156 Street NW,155 Street NW,Total Closure,3 Months,"Total Closure of 99 Av, 156 St - 155 St. For more information visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590313684413 53.537606921066)
905,"Sep 17, 2024","Sep 20, 2024","Oct 26, 2024",Current,93A Av Closure,93A Avenue NW,156 Street NW,157 Street NW,Total Closure,5 Weeks,"Total closure of 93A Av, 156 St - 157 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590400493576 53.529171772046)
550,"Jun 24, 2024","Jun 21, 2024","Oct 31, 2024",Current,155 Street Closure,155 Street NW,Stony Plain Road NW,100 Avenue NW,Total Closure,4 Months,Total closure of 155 St on the South Side of  Stony Plain Rd. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.588536351866 53.541291939693)
697,"Jul 31, 2024","Aug 06, 2024","Nov 15, 2024",Current,Campbell Road Traffic Split,Campbell Road NW,Mark Messier Trail NW,Anthony Henday Drive NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am Campbell Rd, Mark Messier Tr. - 500m north of MMT will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to EB MMT will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.591124679225 53.611637974461)
1044,"Oct 24, 2024","Nov 04, 2024","Nov 21, 2024",Current,102A Ave Lane Reduction,102A Avenue NW,97 Street NW,99 Street NW,Increased Travel Time,2.5 Weeks,"102A Ave from 97 St to west of 97 St lane reduction, two way traffic maintainained. South SUP closed, pedestrians and cyclists must detour using the north sidewalk.",Crane Lift,Construction,Central,Road and Sidewalk,POINT (-113.486715526373 53.544898453109)
1031,"Oct 21, 2024","Oct 28, 2024","Nov 11, 2024",Current,101 St/118 Ave Lane Closure,118 Avenue NW,101 Street NW,97 Street NW,Travel Delays,Two Weeks,Northbound outside curb lane of 101 Street and Eastbound outside curb lane of 118 Avenue closed up to 97 Street. This is phase 3 of 4 from earlier works in the 97 St/118 Ave Intersection,Utility Repair,Construction,Central,Road,POINT (-113.493979671598 53.570123573197)
304,"Apr 29, 2024","Apr 29, 2024","Oct 31, 2024",Current,129 St Closure,129 Street NW,Stony Plain Road NW,106 Avenue NW,Total Closure,6 Months,129 St is closed on the north side of Stony Plain Road. Local acess Maintained from 106 Av. For more information please visit: https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.54453988402 53.547972148523)
783,"Aug 21, 2024","Sep 24, 2024","Dec 20, 2024",Current,98 AV Split,98 Avenue NW,91 Street NW,93 Street NW,Increased Travel Time,Three Months,Road segment will be reduced to a single lane in each direction and split to the south.,Drainage Install,Construction,Central,Road,POINT (-113.466949342703 53.538248840842)
903,"Sep 17, 2024","Sep 16, 2024","Oct 21, 2024",Current,96 Av Closure,96 Avenue NW,156 Street NW,155 Street NW,Total Closure,1 Month,"Closure of 96 Av, 156 St - 155 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590340169955 53.533085567383)
1045,"Oct 24, 2024","Oct 31, 2024","Oct 31, 2024",Current,Sask DR Flagspersons Control,Saskatchewan Drive NW,Queen Elizabeth Park Road NW,90 Avenue NW,Increased Travel Time,One Day,Sask. DR & 101 ST will be reduced to a single lane with both eastbound and westbound traffic maintained under flagspesons control.,Tree Maintenance,Construction,Central,Road,POINT (-113.50232504367 53.52558547469)
1045,"Oct 24, 2024","Oct 31, 2024","Oct 31, 2024",Current,Sask DR Flagspersons Control,Saskatchewan Drive NW,Queen Elizabeth Park Road NW,90 Avenue NW,Increased Travel Time,One Day,Sask. DR & 101 ST will be reduced to a single lane with both eastbound and westbound traffic maintained under flagspesons control.,Tree Maintenance,Construction,Central,Road,POINT (-113.493558570817 53.524189333101)
902,"Sep 17, 2024","Sep 16, 2024","Oct 21, 2024",Current,97 Av Clousre,97 Avenue NW,156 Street NW,155 Street NW,Total Closure,1 Month,"Closure of 97 Av, 156 St - 155 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590318929556 53.534628145734)
958,"Oct 01, 2024","Oct 03, 2024","Oct 28, 2024",Revised,Split to S/S of 82 Ave betwwn 107-108 St,82 AVENUE NW,107 STREET NW,108 STREET NW,Travel Delays,Oct 3 09:00-14:00; Oct 7-28,"Northside 82 Ave between 107 St and 108 St will be closed for paving. A split will be set up to the Southside of the road to maintain thru traffic. Working: Oct 3 from 09:00-14:00, Oct 7 to 28.",Paving,Construction,Central,Road,POINT (-113.506309111055 53.518091057589)
1046,"Oct 24, 2024","Oct 30, 2024","Oct 30, 2024",Current,"106 St Closed, 100 Ave - 60m South",106 Street NW,100 Avenue NW,99 Avenue NW,Total Closure,1 Day (9am - 3:30pm),"Starting at 9am on Oct 30, 106 St will be closed from 100 Ave to approx. 60m south of 100 Ave including the west sidewalk to allow for a crane lift.",Crane Lift,Construction,Central,Road and Sidewalk,POINT (-113.502921513679 53.538834998995)
1027,"Oct 18, 2024","Oct 30, 2024","Oct 30, 2024",Current,#1 Eastbound Lane Closure,Whitemud Drive NW,111 Street NW,,Travel Delays,1 Day,#1 Eastbound lane closure on Whitemud Drive at the 111st underpass due to aDrainage inspection. Lane closure limited to off-peak hours only. Speed reducedaccordingly. Expect travel delays.,Drainage Inspection,Construction,Southwest,Road,POINT (-113.516885531469 53.482653515032)
244,"Apr 16, 2024","Apr 29, 2024","Aug 31, 2025",Current,48 Ave Closure,48 Avenue NW,122 Street NW,,Total Closure,Long term closure,Starts April 29th. 48ave east of 122st will be closed due to road construction. Access to Michener park limited to Macewan Dr.,Road Construction,Construction,Southwest,Road,POINT (-113.541147549623 53.485639919017)
1047,"Oct 24, 2024","Nov 01, 2024","Nov 02, 2024",Current,111 Ave / 124 St: Travel Delays & Turn Bans,111 Avenue NW,124 Street NW,,Travel Delays,2 Days (9am - 3:30pm),"EB & WB 111 Av left turns banned at 124 St, Alternating closures of the east & west crosswalks at 111 Av/124 St, Lane reductions on 124 St at 111 Av but turns maintained. Nov 01: WB 111 Av reduced to one lane. Nov 02: EB and WB 111 Av reduced to one lane.",Drainage Repair,Construction,Central,Road and Sidewalk,POINT (-113.535895426568 53.558894442844)
682,"Jul 29, 2024","Jul 30, 2024","Nov 01, 2024",Current,NB Right Turn Bay Closed 106 St NW & 34 Ave NW,106 Street NW,34 Avenue NW,32A Avenue NW,Travel Delays,3 Months,The right turn bay from northbound 106 St NW to eastbound 34 Ave NW will be closed for 3 months. A full time single lane closure will also be implemented northbound on 106 St south of 34 Ave.,Drainage Install,Construction,Southwest,Road,POINT (-113.504078367552 53.467664733038)
923,"Sep 20, 2024","Sep 20, 2024","Oct 27, 2024",Current,153 Av; Ebbers Blvd - 34 St Reduced to one lane EB,153 Avenue,Ebbers Boulevard NW,34 Street NW,Travel Delays,1 Month,153 Avenue between Ebbers Boulevard and 34 Street in the Eastbound direction will be reduced to one lane from September 20th to October 27th.,Road Construction,Construction,Northeast,Road,POINT (-113.393626562209 53.615361287563)
923,"Sep 20, 2024","Sep 20, 2024","Oct 27, 2024",Current,153 Av; Ebbers Blvd - 34 St Reduced to one lane EB,153 Avenue,Ebbers Boulevard NW,34 Street NW,Travel Delays,1 Month,153 Avenue between Ebbers Boulevard and 34 Street in the Eastbound direction will be reduced to one lane from September 20th to October 27th.,Road Construction,Construction,Northeast,Road,POINT (-113.39951388996 53.614170004861)
678,"Jul 29, 2024","Jul 29, 2024","Nov 08, 2024",Current,Reduced to single lane,103A Street SW,Ellerslie Road SW,30 Avenue SW,Major Delays,,"103A St SW, from Ellerslie Rd to 30 Ave SW will be split to the west, reduced to a single lane each direction.",Water Repair,Construction,Southwest,Road,POINT (-113.503278999264 53.412300876621)
696,"Jul 31, 2024","Aug 06, 2024","Nov 15, 2024",Current,156 St Traffic Split,156 Street NW,145 Avenue NW,Mark Messier Trail NW,Major Delays,3.5 Months,"Starting August 6, 2024 @ 9am 156 St, 145 Ave - Mark Messier Tr. will be reduced to single lanes northbound and southbound. NB lanes will be closed and traffic split on the SB lanes. A single left turn to westbound St. Albert Tr will be maintained.",Waterline Install,Construction,Northwest,Road,POINT (-113.59033536346 53.605785618629)
1040,"Oct 23, 2024","Oct 25, 2024","Oct 25, 2024",Current,,81 Avenue NW,Calgary Trail NW,105 Street NW,Total Closure,07:00-20:00,81 Ave between 105 St and the alley West of Calgary Trail will be totally closed for construction,Construction,Construction,Central,Road and Sidewalk,POINT (-113.50046426912 53.517080484518)
559,"Jun 25, 2024","Jul 04, 2024","Oct 28, 2024",Revised,"Airport Rd, Millard Health Ctr-Amiskwaciy Academy",Airport Road,Kingsway,Cedric Mah Road,Total Closure,3.5 Months,irport Rd (west portion) will be closed from the Millard Health Centre access to the Amiskwaciy Academy access. Local access will be maintained outside of the closure limits.,Waterline Installation,Construction,Central,Road and Sidewalk,POINT (-113.521281473518 53.566387844463)
929,"Sep 23, 2024","Sep 24, 2024","Dec 21, 2024",Current,"WB 100 Ave Closed, 107 St - 108 St",100 Avenue,107 Street NW,108 Street NW,Directional Closure,3 Months,"Westbound 100 Ave, as well as the 100 Ave bike facility and north sidewalk, will be closed between 107 St and 108 St. Cylist and pedestrian access will be maintained via an on-street detour within the closure.",Power Line Installation,Construction,Central,Road and Sidewalk,POINT (-113.504760411346 53.53883895392)
988,"Oct 08, 2024","Oct 21, 2024","Nov 11, 2024",Current,River Valley Rd delays at Victoria Golf Course,River Valley Road,Groat Road,Fortway Drive,Travel Delays,3 Weeks,Delays westbound River Valley Rd due to flag control of access into/out of Victoria Golf Course at intersection. Eastbound left turn from River Valley Rd to Victoria Golf Course banned. Exit from Victoria Golf Course directed to westbound River Valley Rd.,Power Installation,Construction,Central,Road,POINT (-113.513217598087 53.531970464284)
988,"Oct 08, 2024","Oct 21, 2024","Nov 11, 2024",Current,River Valley Rd delays at Victoria Golf Course,River Valley Road,Groat Road,Fortway Drive,Travel Delays,3 Weeks,Delays westbound River Valley Rd due to flag control of access into/out of Victoria Golf Course at intersection. Eastbound left turn from River Valley Rd to Victoria Golf Course banned. Exit from Victoria Golf Course directed to westbound River Valley Rd.,Power Installation,Construction,Central,Road,POINT (-113.536864400138 53.537985239537)
989,"Oct 08, 2024","Oct 10, 2024","Nov 14, 2024",Current,103 St Lane Reduction,103 Street NW,102 Avenue NW,103 Avenue NW,Increased Travel Time,5 Weeks,"Starts Thu Oct 10, 103 St from 103 Ave to alley south of 103 Ave reduced to single lane in each direction. East sidewalk closed, pedestrian detour using the west sidewalk. Bike lane closure between Oct 31 - Nov 14. Parking ban in effect.",Ductline Installation,Construction,Central,Road and Sidewalk,POINT (-113.497407897619 53.543013110104)
651,"Jul 19, 2024","Jul 22, 2024","Oct 30, 2024",Revised,66 St Delays at 132 Ave,66 Street NW,131 Avenue NW,133 Avenue NW,Travel Delays,14 Weeks,Northbound and Southbound 66 St will be reduced to one inside lane through 132 Avenue.,132 Ave Road Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.442959460215 53.590558672885)
823,"Aug 30, 2024","Aug 28, 2024","Oct 23, 2024",Revised,137 Ave Curb lane Closure,137 Avenue NW,Victoria Trail,36 Street NW,Travel Delays,Four weeks,Westbound 137 Avenue Curb lane closure.,Hairsine Neighbourhood Rehab,Construction,Northeast,Road,POINT (-113.396324436916 53.599289969536)
823,"Aug 30, 2024","Aug 28, 2024","Oct 23, 2024",Revised,137 Ave Curb lane Closure,137 Avenue NW,Victoria Trail,36 Street NW,Travel Delays,Four weeks,Westbound 137 Avenue Curb lane closure.,Hairsine Neighbourhood Rehab,Construction,Northeast,Road,POINT (-113.386121301163 53.599656479455)
651,"Jul 19, 2024","Jul 22, 2024","Oct 30, 2024",Revised,66 St Delays at 132 Ave,66 Street NW,131 Avenue NW,133 Avenue NW,Travel Delays,14 Weeks,Northbound and Southbound 66 St will be reduced to one inside lane through 132 Avenue.,132 Ave Road Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.442958463868 53.594070821446)
1048,"Oct 24, 2024","Nov 11, 2024","Nov 11, 2024",Current,High Level Bridge East Access Closure,109 Street NW,97 Avenue NW,88 Avenue NW,Travel Delays,10:45 am - 11:30 am,The east approach to the high level bridge from 97 Av & 109 St will be closed from 10:45 am - 11:30 am to accommodate the Alberta Legislature ArtillerySalute.The east walk on the Bridge will also be closed,Artillery Salute,Special Event,Central,Road and Sidewalk,POINT (-113.508530035698 53.534180477197)
1018,"Oct 16, 2024","Oct 17, 2024","Oct 17, 2024",Current,Muttart Crossing Closure,Muttart Crossing NW,106A Avenue NW,Stadium Road NW,Total Closure,12pm - 330pm,Starts at 12pm to 330pm on Oct 17. Muttart Crossing closed and south sidewalk closed due to . Detour using other route.,Concrete Pour,,,,POINT (-113.471904281063 53.557684593027)
1048,"Oct 24, 2024","Nov 11, 2024","Nov 11, 2024",Current,High Level Bridge East Access Closure,109 Street NW,97 Avenue NW,88 Avenue NW,Travel Delays,10:45 am - 11:30 am,The east approach to the high level bridge from 97 Av & 109 St will be closed from 10:45 am - 11:30 am to accommodate the Alberta Legislature ArtillerySalute.The east walk on the Bridge will also be closed,Artillery Salute,Special Event,Central,Road and Sidewalk,POINT (-113.51206944227 53.523851326194)
1049,"Oct 24, 2024","Nov 11, 2024","Nov 11, 2024",Current,Intersection closure,Griesbach Parade NW,Gault Boulevard NW,,Total Closure,4 Hours (9 am - 1 pm),The intersection of Gault Blvd - Griesbach Parade will be completely closed to support the PPCLI Remembrance Day Ceremony event.,Special Event,Special Event,Northeast,Road,POINT (-113.496066638198 53.601937543534)
882,"Sep 11, 2024","Sep 12, 2024","Nov 15, 2024",Revised,NB 105 St to EB 107 Ave: Right Turn Banned,105 Street NW,107 Avenue NW,,Travel Delays,3 Months,Northbound 105 St right turn to eastbound 107 Ave banned. East and south crosswalks closed at 107 Ave/105 St intersection. 105 St east sidewalk closed south of 107 Ave and 107 Ave south sidewalk closed east of 105 St.,107 Avenue Park,Construction,Central,Road and Sidewalk,POINT (-113.500907371737 53.551411116963)
876,"Sep 10, 2024","Sep 10, 2024","Oct 31, 2024",Current,Meridian St; Horsehills Rd to 227 Ave - Flagging,Meridian Street NW,Horsehills  Road NW,227 Avenue NW,Travel Delays,52 Days,"Sections of Meridian Street from Horsehills Road to 227 Avenue will be under Flag person control for a Power Installation. Work is to take place from September 10th to October 31, During weekdays from the hours of 9:00 am to 3:30 pm.",Power Install,Construction,Northeast,Road,POINT (-113.344281343234 53.686825004615)
913,"Sep 18, 2024","Sep 19, 2024","Oct 31, 2024",Current,Reduced to single lane PM peak,23 Avenue,50 Street,57 Street,Travel Delays,1 month,23 Ave WB will be reduced to a single lane daily from 9am - 6:30pm. Sidewalk closed on the N/S of 23ave.  Pedestrians detoured to the S/S of 23ave.,SUP install,Construction,Southeast,Road and Sidewalk,POINT (-113.427714325714 53.453763857782)
913,"Sep 18, 2024","Sep 19, 2024","Oct 31, 2024",Current,Reduced to single lane PM peak,23 Avenue,50 Street,57 Street,Travel Delays,1 month,23 Ave WB will be reduced to a single lane daily from 9am - 6:30pm. Sidewalk closed on the N/S of 23ave.  Pedestrians detoured to the S/S of 23ave.,SUP install,Construction,Southeast,Road and Sidewalk,POINT (-113.420076640673 53.454755657291)
1028,"Oct 18, 2024","Oct 18, 2024","Nov 01, 2024",Emergency,"EB 104 Ave right lane closed, 111 St - 110 St",104 Avenue NW,111 Street NW,110 Street NW,Travel Delays,2 Weeks,"EB 104 Ave right lane closed from 111 St - 110 St, west crosswalk closed at 104 Ave/110 St.",Road Repair,Construction,Central,Road,POINT (-113.512077632637 53.546107755295)
948,"Sep 26, 2024","Sep 26, 2024","Oct 24, 2024",Current,36 St closure,36 Street NW,138 Avenue NW,139 Avenue NW,Total Closure,Four Weeks,36 St from 138 Ave to 139 Ave closed. Local access maintained.,Hairsine Neighbourhood Rehab,Construction,Northeast,Road and Sidewalk,POINT (-113.396491663367 53.600626316976)
979,"Oct 04, 2024","Oct 04, 2024","Oct 28, 2024",Current,127 St Northbound Single Lane Closure,127 Street NW,148 Avenue NW,152 Avenue NW,Travel Delays,1 Month,Northbound 127 St from 148 Ave - 152 Ave is reduced to a signle lane. The east sidewalk is closed and a pedesrtian detour in place. Please use other routes.,Road Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.541281118544 53.610471841332)
891,"Sep 13, 2024","Oct 10, 2024","Oct 20, 2024",Revised,163 St Reduced to 1 Lane Each Way,163 Street NW,96A Avenue NW,96 Avenue NW,Travel Delays,11 Days,163 St will be reduced to 1 lane in each direction. Use other routes.,Sewer Install,Construction,Northwest,Road,POINT (-113.602838373143 53.533919697156)
649,"Jul 18, 2024","Jul 22, 2024","Nov 08, 2024",Revised,Southbound Fort Road Curb Lane Closure,Fort Road,133 Avenue NW,59 Street NW,Travel Delays,2 Months,Southbound Fort Road curb lane closure for pedestrian accommodation. Speed reduced to 40km/h,132 Ave Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.429126417013 53.593335191164)
429,"May 29, 2024","Jun 03, 2024","Nov 08, 2024",Revised,132 Ave Total Closure,132 Avenue NW,Fort Road,66 Street,Total Closure,4 Months,132 Ave total closure. North and South sidewalks of 132 Ave closed and opened as work progresses.,132 Ave Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.442976816475 53.592267604598)
632,"Jul 16, 2024","Jul 22, 2024","Oct 31, 2024",Revised,117 Ave Closure,117 Avenue NW,85 Street NW,86 Street NW,Total Closure,2.5 Months,"Starts July 22, 117 Ave, 85 St - 86 St closed due to drainage repair. Detour using other route. Epcor Parkdale Dry Pond Stage 1 project.",Drainage Repair,Construction,Central,Road,POINT (-113.471806641629 53.568885034733)
672,"Jul 25, 2024","Jul 18, 2024","Oct 31, 2024",Current,112 Street Closure,112 Street NW,104 Avenue NW,,Total Closure,3.5 Months,112 St is closed on the North Side of 104 Av. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.513918408 53.546227654469)
1006,"Oct 10, 2024","Oct 15, 2024","Oct 25, 2024",Current,Sask. DR SUP & Lane Closure,Saskatchewan Drive NW,90 Avenue NW,101 Street NW,Increased Travel Time,Ten Days,"Shared Use Path on the north side of Sask. DR, 90 AV - 101 ST closed to pedestrians and bicycles, with detour to the south sidewalk. Vehicle traffic will be reduced to a single lane under flagsperson control Oct.21-23 between 09:00-15:30hrs.",Bridge Maintenance,Construction,Central,Road and Sidewalk,POINT (-113.491238642417 53.524833841769)
1006,"Oct 10, 2024","Oct 15, 2024","Oct 25, 2024",Current,Sask. DR SUP & Lane Closure,Saskatchewan Drive NW,90 Avenue NW,101 Street NW,Increased Travel Time,Ten Days,"Shared Use Path on the north side of Sask. DR, 90 AV - 101 ST closed to pedestrians and bicycles, with detour to the south sidewalk. Vehicle traffic will be reduced to a single lane under flagsperson control Oct.21-23 between 09:00-15:30hrs.",Bridge Maintenance,Construction,Central,Road and Sidewalk,POINT (-113.50232504367 53.52558547469)
429,"May 29, 2024","Jun 03, 2024","Nov 08, 2024",Revised,132 Ave Total Closure,132 Avenue NW,Fort Road,66 Street,Total Closure,4 Months,132 Ave total closure. North and South sidewalks of 132 Ave closed and opened as work progresses.,132 Ave Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.430855681467 53.592113603319)
649,"Jul 18, 2024","Jul 22, 2024","Nov 08, 2024",Revised,Southbound Fort Road Curb Lane Closure,Fort Road,133 Avenue NW,59 Street NW,Travel Delays,2 Months,Southbound Fort Road curb lane closure for pedestrian accommodation. Speed reduced to 40km/h,132 Ave Rehabilitation,Construction,Northeast,Road and Sidewalk,POINT (-113.432146788405 53.591255036147)
